"REF_DATE","GEO","DGUID","Month of death","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, July","Percentage of deaths","Percentage","242","units","0","v21216423","4.8.2","8.1","","","","1"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, August","Number of deaths","Number","223","units","0","v21216424","4.9.1","594","","","","0"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, August","Percentage of deaths","Percentage","242","units","0","v21216425","4.9.2","8.2","","","","1"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, September","Number of deaths","Number","223","units","0","v21216426","4.10.1","558","","","","0"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, September","Percentage of deaths","Percentage","242","units","0","v21216427","4.10.2","7.7","","","","1"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, October","Number of deaths","Number","223","units","0","v21216428","4.11.1","603","","","","0"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, October","Percentage of deaths","Percentage","242","units","0","v21216429","4.11.2","8.3","","","","1"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, November","Number of deaths","Number","223","units","0","v21216430","4.12.1","583","","","","0"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, November","Percentage of deaths","Percentage","242","units","0","v21216431","4.12.2","8.0","","","","1"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, December","Number of deaths","Number","223","units","0","v21216432","4.13.1","641","","","","0"
"1991","Nova Scotia, place of residence","2021A000212","Month of death, December","Percentage of deaths","Percentage","242","units","0","v21216433","4.13.2","8.8","","","","1"
"1991","New Brunswick, place of residence","2021A000213","Total, month of death","Number of deaths","Number","223","units","0","v21216434","5.1.1","5469","","","","0"
"1991","New Brunswick, place of residence","2021A000213","Total, month of death","Percentage of deaths","Percentage","242","units","0","v21216435","5.1.2","100.0","","","","1"
"1991","New Brunswick, place of residence","2021A000213","Month of death, January","Number of deaths","Number","223","units","0","v21216436","5.2.1","460","","","","0"
"1991","New Brunswick, place of residence","2021A000213","Month of death, January","Percentage of deaths","Percentage","242","units","0","v21216437","5.2.2","8.4","","","","1"
"1991","New Brunswick, place of residence","2021A000213","Month of death, February","Number of deaths","Number","223","units","0","v21216438","5.3.1","426","","","","0"
"1991","New Brunswick, place of residence","2021A000213","Month of death, February","Percentage of deaths","Percentage","242","units","0","v21216439","5.3.2","7.8","","","","1"
"1991","New Brunswick, place of residence","2021A000213","Month of death, March","Number of deaths","Number","223","units","0","v21216440","5.4.1","503","","","","0"
"1991","New Brunswick, place of residence","2021A000213","Month of death, March","Percentage of deaths","Percentage","242","units","0","v21216441","5.4.2","9.2","","","","1"
"1991","New Brunswick, place of residence","2021A000213","Month of death, April","Number of deaths","Number","223","units","0","v21216442","5.5.1","472","","","","0"
